code_departement,nom_departement,nom_commune,code_commune,valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,type_local,surface_terrain,population_2021,population_2015,pourcentage_chomage_2021,pourcentage_chomage_2020,pourcentage_taux_cambriolages,evolution_2016_2021,loyer_moyen,prix_moyen(m²),rendement_locatifs
11,Aude,Villautou,11419,100000,148,4,Maison,2917,377000,360000,10.4,10.4,5.9,-23.7,7.670286055,675.68,13.62
11,Aude,Villautou,11419,100000,45,1,Maison,2917,377000,360000,10.4,10.4,5.9,-23.7,7.670286055,2222.22,4.14
11,Aude,Villautou,11419,100000,45,2,Maison,2917,377000,360000,10.4,10.4,5.9,-23.7,7.670286055,2222.22,4.14
11,Aude,Carlipa,11070,208510,110,5,Maison,3150,377000,360000,10.4,10.4,5.9,-23.7,6.789026993,1895.55,4.3
11,Aude,Lagrasse,11185,107000,120,5,Maison,110,377000,360000,10.4,10.4,5.9,-23.7,7.529897188,891.67,10.13
11,Aude,Saint-Denis,11339,79000,65,3,Maison,123,377000,360000,10.4,10.4,5.9,-23.7,6.789026993,1215.38,6.7
11,Aude,Montclar,11242,550185,297,6,Maison,5620,377000,360000,10.4,10.4,5.9,-23.7,7.811384819,1852.47,5.06
11,Aude,Montclar,11242,550185,297,6,Maison,1000,377000,360000,10.4,10.4,5.9,-23.7,7.811384819,1852.47,5.06
11,Aude,Quillan,11304,55000,42,3,Maison,799,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,1309.52,5.44
11,Aude,Belvianes-et-Cavirac,11035,79000,73,4,Maison,282,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,1082.19,6.58
11,Aude,Pieusse,11289,320000,150,7,Maison,3519,377000,360000,10.4,10.4,5.9,-23.7,6.789607528,2133.33,3.82
11,Aude,Pieusse,11289,320000,45,4,Maison,619,377000,360000,10.4,10.4,5.9,-23.7,6.789607528,7111.11,1.15
